Paper;URL;Country;Mean;SD;scale-min;scale-max;year;N;Visualization-level;SAE;Uncertainty;Own;Exclude;Reason;Remarks;;;;;
frison2019ux;https://doi.org/10.1145/3290605.3300374;Germany;;;1;7;2019;48;;2;;Related Work;WAHR;Trust only for UX of infotainment;;;;;;
kraus2019more;https://journals.sagepub.com/doi/pdf/10.1177/0018720819853686;Germany;6.22;0.67;1;7;2020;47;None;3;;Related Work;WAHR;Only textual information in Transparency class;"Took last timestep - t8 in study 2 without malfunction; Table 7";;;;;
kraus2019more;https://journals.sagepub.com/doi/pdf/10.1177/0018720819853686;Germany;5.98;0.91;1;7;2020;47;Just Text;3;;Related Work;WAHR;Only textual information in Transparency class;"Took last timestep - t8 in study 2 without malfunction; Table 7";;;;;
hauslschmid2017supportingtrust;http://dx.doi.org/10.1145/3025171.3025198;Germany;2.40;;0;4;2017;30;Traj. Planning;5;No;Related Work;FALSCH;;Car indicators;;;;;
hauslschmid2017supportingtrust;http://dx.doi.org/10.1145/3025171.3025198;Germany;2.70;;0;4;2017;30;Multiple;5;No;Related Work;FALSCH;;Chauffeur Avatar;;;;;
hauslschmid2017supportingtrust;http://dx.doi.org/10.1145/3025171.3025198;Germany;2.90;;0;4;2017;30;Multiple;5;No;Related Work;FALSCH;;World in Miniature;;;;;
von2019increasing;https://dl.acm.org/doi/pdf/10.1145/3321335.3324947;Germany;3.91;;1;7;2019;30;None;5;No;Related Work;FALSCH;;Took the one by Jian et al;;;;;
von2019increasing;https://dl.acm.org/doi/pdf/10.1145/3321335.3324947;Germany;5.06;;1;7;2019;30;Traj. Planning;5;No;Related Work;FALSCH;;Arrow;;;;;
von2019increasing;https://dl.acm.org/doi/pdf/10.1145/3321335.3324947;Germany;4.20;;1;7;2019;30;Multiple;5;No;Related Work;FALSCH;;Map;;;;;
von2019increasing;https://dl.acm.org/doi/pdf/10.1145/3321335.3324947;Germany;4.79;;1;7;2019;30;Multiple;5;No;Related Work;FALSCH;;World-fixed;;;;;
von2019increasing;https://dl.acm.org/doi/pdf/10.1145/3321335.3324947;Germany;4.75;;1;7;2019;30;Multiple;5;No;Related Work;FALSCH;;Preview;;;;;
von2019increasing;https://dl.acm.org/doi/pdf/10.1145/3321335.3324947;Germany;4.79;;1;7;2019;30;Multiple;5;No;Related Work;FALSCH;;Combination;;;;;
core-colley2021effects;https://doi.org/10.1145/3411764.3445351;Germany;3.31;0.76;1;7;2021;41;None;5;No;Core;FALSCH;;only with real video;;;;;
core-colley2021effects;https://doi.org/10.1145/3411764.3445351;Germany;3.32;0.75;1;7;2021;41;Sit. Detection;5;Yes;Core;FALSCH;;only with real video;;;;;
core-colley2020effect;https://doi.org/10.1145/3409120.3410648;Germany;3.86;1.46;1;7;2020;15;None;5;No;Core;FALSCH;;;;;;;
core-colley2020effect;https://doi.org/10.1145/3409120.3410648;Germany;5.33;1.86;1;7;2020;15;Sit. Prediction;5;Yes;Core;FALSCH;;AR three clarity states;;;;;
core-colley2022scene;https://doi.org/10.1145/3534609;USA;3.76;0.96;1;5;2022;216;None;5;No;Core;FALSCH;;;;;;;
core-colley2022scene;https://doi.org/10.1145/3534609;USA;3.46;0.92;1;5;2022;216;Sit. Detection;5;Yes;Core;FALSCH;;only singular added;;;;;
core-colley2022scene;https://doi.org/10.1145/3534609;USA;3.59;1.19;1;5;2022;216;Sit. Prediction;5;Yes;Core;FALSCH;;only singular added;;;;;
core-colley2022scene;https://doi.org/10.1145/3534609;USA;3.17;1.08;1;5;2022;216;Traj. Planning;5;Yes;Core;FALSCH;;only singular added;;;;;
core-ar4cad;https://dl.acm.org/doi/abs/10.1145/3546712;Germany;;;;;2022;18;;5;No;Core;WAHR;Special use case?;;;;;;
core-2022feedback;https://dl.acm.org/doi/abs/10.1145/3543174.3545255;USA;;;;;2022;;;5;No;Core;WAHR;Special use case?;;;;;;
core-colley2023trajectory;https://dl.acm.org/doi/abs/10.1145/3631408;USA;3.77;0.78;1;5;2023;280;Traj. Planning;5;Yes;Core;FALSCH;;only with real video;;;;;
core-colley2023trajectory;https://dl.acm.org/doi/abs/10.1145/3631408;USA;3.62;0.9;1;5;2023;280;Sit. Prediction;5;Yes;Core;FALSCH;;only with real video;;;;;
core-colley2023trajectory;https://dl.acm.org/doi/abs/10.1145/3631408;USA;3.93;0.79;1;5;2023;280;Multiple;5;Yes;Core;FALSCH;;only with real video;;;;;
core-colley2023trajectory;https://dl.acm.org/doi/abs/10.1145/3631408;USA;3.28;0.91;1;5;2023;280;None;5;No;Core;FALSCH;;only with real video;;;;;
wintersberger2019fostering;https://www.researchgate.net/profile/Philipp-Wintersberger/publication/330397578_Fostering_User_Acceptance_and_Trust_in_Fully_Automated_Vehicles_Evaluating_the_Potential_of_Augmented_Reality/links/5de5226b299bf10bc33a54e9/Fostering-User-Acceptance-and-Trust-in-Fully-Automated-Vehicles-Evaluating-the-Potential-of-Augmented-Reality.pdf;Germany;4.23;;1;7;2019;26;Sit. Detection;5;No;Related Work;FALSCH;;"only forward driving; “implicit communication of system decisions,”";TAM for trust;;;;
wintersberger2019fostering;https://www.researchgate.net/profile/Philipp-Wintersberger/publication/330397578_Fostering_User_Acceptance_and_Trust_in_Fully_Automated_Vehicles_Evaluating_the_Potential_of_Augmented_Reality/links/5de5226b299bf10bc33a54e9/Fostering-User-Acceptance-and-Trust-in-Fully-Automated-Vehicles-Evaluating-the-Potential-of-Augmented-Reality.pdf;Germany;3.48;;1;7;2019;26;None;5;No;Related Work;FALSCH;;"only forward driving; “implicit communication of system decisions,”";TAM for trust;;;;
wintersberger2019fostering;https://www.researchgate.net/profile/Philipp-Wintersberger/publication/330397578_Fostering_User_Acceptance_and_Trust_in_Fully_Automated_Vehicles_Evaluating_the_Potential_of_Augmented_Reality/links/5de5226b299bf10bc33a54e9/Fostering-User-Acceptance-and-Trust-in-Fully-Automated-Vehicles-Evaluating-the-Potential-of-Augmented-Reality.pdf;Germany;4.05;;1;7;2019;18;Traj. Planning;5;No;Related Work;FALSCH;;only backward driving;TAM for trust;;;;
wintersberger2019fostering;https://www.researchgate.net/profile/Philipp-Wintersberger/publication/330397578_Fostering_User_Acceptance_and_Trust_in_Fully_Automated_Vehicles_Evaluating_the_Potential_of_Augmented_Reality/links/5de5226b299bf10bc33a54e9/Fostering-User-Acceptance-and-Trust-in-Fully-Automated-Vehicles-Evaluating-the-Potential-of-Augmented-Reality.pdf;Germany;3.21;;1;7;2019;18;Traj. Planning;5;No;Related Work;FALSCH;;only backward driving;TAM for trust;;;;
wintersberger2019fostering;https://www.researchgate.net/profile/Philipp-Wintersberger/publication/330397578_Fostering_User_Acceptance_and_Trust_in_Fully_Automated_Vehicles_Evaluating_the_Potential_of_Augmented_Reality/links/5de5226b299bf10bc33a54e9/Fostering-User-Acceptance-and-Trust-in-Fully-Automated-Vehicles-Evaluating-the-Potential-of-Augmented-Reality.pdf;Germany;2.47;;1;7;2019;18;None;5;No;Related Work;FALSCH;;only backward driving;TAM for trust;;;;
detjen2021transparent;https://dl.acm.org/doi/pdf/10.1145/3447526.3472041;;;;;;;;;;No;Related Work;WAHR;No means given;;;;;;
lanzer2021intelligent;https://www.frontiersin.org/articles/10.3389/fhumd.2021.676667/full;Germany;4.76;1.42;1;7;2021;68;Sit. Prediction;5;Yes;Further;FALSCH;;Only when no malfunction occurred is used;;;;;
oliveira2020influence;https://doi.org/10.1016/j.trf.2020.06.001;UK;60.4;7.9;12;84;2020;25;None;4;No;Related Work;FALSCH;;;;;;;
oliveira2020influence;https://doi.org/10.1016/j.trf.2020.06.001;UK;64.92;9.51;12;84;2020;25;Multiple;4;No;Related Work;FALSCH;;Detection and Planning;Camera Feed;;;;
oliveira2020influence;https://doi.org/10.1016/j.trf.2020.06.001;UK;64.04;10.22;12;84;2020;25;Multiple;4;No;Related Work;FALSCH;;Detection and Planning;Animation;;;;
oliveira2020influence;https://doi.org/10.1016/j.trf.2020.06.001;UK;65.96;8.07;12;84;2020;25;Multiple;4;No;Related Work;FALSCH;;Detection and Planning;AR Windscreen;;;;
jung2023projecting;https://doi.org/10.1016/j.apergo.2023.104047;;;;;;;;;2;No;Related Work;WAHR;No trust measurement;;;;;;
hartwich2021improving;https://www.frontiersin.org/articles/10.3389/fhumd.2021.669030/full;Germany;3.95;0.5;1;5;2021;50;None;4;No;Related Work;FALSCH;;Baseline;Estimated from Figure 5;only non-complex;;;
hartwich2021improving;https://www.frontiersin.org/articles/10.3389/fhumd.2021.669030/full;Germany;4.25;0.5;1;5;2021;50;Multiple;4;No;Related Work;FALSCH;;Speed, Mode;Estimated from Figure 5;only non-complex;;;
hartwich2021improving;https://www.frontiersin.org/articles/10.3389/fhumd.2021.669030/full;Germany;4.15;0.5;1;5;2021;50;Multiple;4;No;Related Work;FALSCH;;Maneuver and Detection;Estimated from Figure 5;only non-complex;;;
flohr2023prototyping;https://dl.acm.org/doi/10.1145/3563657.3596051;Germany;3.5;1.1;1;5;2023;30;None;4;No;Related Work;FALSCH;;Baseline;;;;;
flohr2023prototyping;https://dl.acm.org/doi/10.1145/3563657.3596051;Germany;3.2;1.2;1;5;2023;30;Sit. Detection;4;No;Related Work;FALSCH;;Status Bar;;;;;
flohr2023prototyping;https://dl.acm.org/doi/10.1145/3563657.3596051;Germany;3.4;1.1;1;5;2023;30;Sit. Detection;4;Yes;Related Work;FALSCH;;Object Detection;only here uncertainty due to mapping;;;;
mackay2020impact;https://www.researchgate.net/profile/Ines-Fortes/publication/333645946_The_Impact_of_Autonomous_Vehicles%27_Active_Feedback_on_Trust/links/602fc1dc92851c4ed580d3ef/The-Impact-of-Autonomous-Vehicles-Active-Feedback-on-Trust.pdf;Portugal;4.4;;0;5;2020;40;None;4;No;Related Work;FALSCH;;;"Using ""The autonomous driving system is trustable""";;;;
mackay2020impact;https://www.researchgate.net/profile/Ines-Fortes/publication/333645946_The_Impact_of_Autonomous_Vehicles%27_Active_Feedback_on_Trust/links/602fc1dc92851c4ed580d3ef/The-Impact-of-Autonomous-Vehicles-Active-Feedback-on-Trust.pdf;Portugal;4;;0;5;2020;40;Sit. Detection;4;No;Related Work;FALSCH;;;;;;;
mackay2020impact;https://www.researchgate.net/profile/Ines-Fortes/publication/333645946_The_Impact_of_Autonomous_Vehicles%27_Active_Feedback_on_Trust/links/602fc1dc92851c4ed580d3ef/The-Impact-of-Autonomous-Vehicles-Active-Feedback-on-Trust.pdf;Portugal;3.8;;0;5;2020;40;Multiple;4;No;Related Work;FALSCH;;Object Detection + Maneuver Planning;;;;;
xu2021automated;https://pdf.sciencedirectassets.com/271729/1-s2.0-S0968090X21X0006X/1-s2.0-S0968090X21002837/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEFEaCXVzLWVhc3QtMSJGMEQCIGNuUzpPDAi4PLC%2BqeHO%2B%2BmNBUZGm5FXXk%2B7tjBLrQdHAiBdVpoirc7IuzJ7PUoGB9%2By0wSPA5EOUFUVFfByvxCTziq8BQjZ%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDA1OTAwMzU0Njg2NSIM2FgLtng1C70O0iMYKpAFP8lboUtwiy55LDnU4vMdnuW0c78ia5wpxzqdMoACyNarh192pP9S3SWgYbgdU%2F5GImF%2FrcCbsyOofKmKRzy9GbHVgey3K1bO7XeAy%2FLwW8crGGRGuxm2s6kpLDGh05ww5gZFRSq6%2F0r4%2BfIt8g6r9f%2BykNH97YSoXPdX8GtYig0umNRIZfJgx2nbQDsGzUyivHMpPHubVN26LMsu7Zse9W3PGmen5pO99MRLOluH3wdrycwgsD29NgQmU86ar60LRCPu1YdUjCB8vTEHvvWsfc9YNiDjGZ7HOJSDA3CHz1S8VzsqDEl9J4OIZUVgizctRzUZ4dHB6YWZ1OTY%2BVmCxBhPFtgZVRHs4fYNBS3R3LTzmZWBFFKiqegyNJz%2BirBuzsMFgykf0rFfZ%2Baidw9NwZQYVY%2BWs0cIz7o14kwLR9ers5fwNSpzwIBFmdcfiXl4UMAot0lPyKZCmmHer603kB8qt10WEQF%2B4AJCegzrD5uKjZCWo0%2BpkM60s0yBaeYxIJTt5KqWPIxolkt1HdhzpKmXzZBa0%2BMOrGMDawpilvC5J6QcBdinGpuUA4vqXN3CIvt%2B8xYeVp5RGDR8DMvPKa8ET93I9MCdbPDWs%2BQUM%2BUCao7nDwqIC0bszcF7iMabHvvnJLspuFa4mwfHf6vG5fn2W5ZNBxNCBUAYf1iLUeYf2CQqlMtYa39XrIH%2FzGvrHtXFCdxCuCvrcuylu2mpaEyHp8xKUuQIy666L5RurmLWiNcbsTAhSMVKWf%2Fd7PYpNiOXuftnU5UDscglMTtALoPpcME%2FMau3nIw1am4hAYm8WpxSpgUh2JFIUwxaxIibCZbPQEb0GgFQ4OIB8nDeZYUh3Iyab5viqIVt57SG5hEwpf3vpQY6sgE2pNl7nm7jY%2F5P%2BW3R%2B%2F4TWeveXB0k7DgykwPZYq4o35IRIA1HGDvtkxC3zFslXp4vwcKZo2YPNqKsH1jhEP80PSc%2Fc4wkkOm9uNWIXK5j3cY94cDDa%2Bmec9wyNgQnmJ372G3JkBLH2GtSeig3A3SO%2FYvcY54fE36kOAkbRfy0SSq2eRU5MU%2BV5LtmwYvmpIdl4sW8bugpC4DC3HwYeDSez8O1elfyw6fIsJWbrwVddFAO&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230722T171944Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYYLQI7DFM%2F20230722%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=e50c51f478bec0fc46df8d97aed1211d708be8129a8cf13f5d826ed3f3a0e963&hash=e8b82a99218a76ff2dfa88eca56ed59e4e91d01af24078c553d0d1da2554a235&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0968090X21002837&tid=spdf-59b0f039-c617-4fcd-b946-0b6737183f78&sid=aa4713d55d0e474e176b02032cebc528029dgxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1015520a0506545c0007&rr=7ead59ae2cf88c45&cc=us;China ;3.84;0.7;1;5;2021;216;None;4;No;Related Work;FALSCH;;Normal;after drive;;;;
xu2021automated;https://pdf.sciencedirectassets.com/271729/1-s2.0-S0968090X21X0006X/1-s2.0-S0968090X21002837/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEFEaCXVzLWVhc3QtMSJGMEQCIGNuUzpPDAi4PLC%2BqeHO%2B%2BmNBUZGm5FXXk%2B7tjBLrQdHAiBdVpoirc7IuzJ7PUoGB9%2By0wSPA5EOUFUVFfByvxCTziq8BQjZ%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDA1OTAwMzU0Njg2NSIM2FgLtng1C70O0iMYKpAFP8lboUtwiy55LDnU4vMdnuW0c78ia5wpxzqdMoACyNarh192pP9S3SWgYbgdU%2F5GImF%2FrcCbsyOofKmKRzy9GbHVgey3K1bO7XeAy%2FLwW8crGGRGuxm2s6kpLDGh05ww5gZFRSq6%2F0r4%2BfIt8g6r9f%2BykNH97YSoXPdX8GtYig0umNRIZfJgx2nbQDsGzUyivHMpPHubVN26LMsu7Zse9W3PGmen5pO99MRLOluH3wdrycwgsD29NgQmU86ar60LRCPu1YdUjCB8vTEHvvWsfc9YNiDjGZ7HOJSDA3CHz1S8VzsqDEl9J4OIZUVgizctRzUZ4dHB6YWZ1OTY%2BVmCxBhPFtgZVRHs4fYNBS3R3LTzmZWBFFKiqegyNJz%2BirBuzsMFgykf0rFfZ%2Baidw9NwZQYVY%2BWs0cIz7o14kwLR9ers5fwNSpzwIBFmdcfiXl4UMAot0lPyKZCmmHer603kB8qt10WEQF%2B4AJCegzrD5uKjZCWo0%2BpkM60s0yBaeYxIJTt5KqWPIxolkt1HdhzpKmXzZBa0%2BMOrGMDawpilvC5J6QcBdinGpuUA4vqXN3CIvt%2B8xYeVp5RGDR8DMvPKa8ET93I9MCdbPDWs%2BQUM%2BUCao7nDwqIC0bszcF7iMabHvvnJLspuFa4mwfHf6vG5fn2W5ZNBxNCBUAYf1iLUeYf2CQqlMtYa39XrIH%2FzGvrHtXFCdxCuCvrcuylu2mpaEyHp8xKUuQIy666L5RurmLWiNcbsTAhSMVKWf%2Fd7PYpNiOXuftnU5UDscglMTtALoPpcME%2FMau3nIw1am4hAYm8WpxSpgUh2JFIUwxaxIibCZbPQEb0GgFQ4OIB8nDeZYUh3Iyab5viqIVt57SG5hEwpf3vpQY6sgE2pNl7nm7jY%2F5P%2BW3R%2B%2F4TWeveXB0k7DgykwPZYq4o35IRIA1HGDvtkxC3zFslXp4vwcKZo2YPNqKsH1jhEP80PSc%2Fc4wkkOm9uNWIXK5j3cY94cDDa%2Bmec9wyNgQnmJ372G3JkBLH2GtSeig3A3SO%2FYvcY54fE36kOAkbRfy0SSq2eRU5MU%2BV5LtmwYvmpIdl4sW8bugpC4DC3HwYeDSez8O1elfyw6fIsJWbrwVddFAO&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230722T171944Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYYLQI7DFM%2F20230722%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=e50c51f478bec0fc46df8d97aed1211d708be8129a8cf13f5d826ed3f3a0e963&hash=e8b82a99218a76ff2dfa88eca56ed59e4e91d01af24078c553d0d1da2554a235&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0968090X21002837&tid=spdf-59b0f039-c617-4fcd-b946-0b6737183f78&sid=aa4713d55d0e474e176b02032cebc528029dgxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1015520a0506545c0007&rr=7ead59ae2cf88c45&cc=us;China ;3.57;0.69;1;5;2021;216;None;4;No;Related Work;FALSCH;;Fault;after drive;;;;
detjen2020wizard;https://dl.acm.org/doi/pdf/10.1145/3409120.3410662;The Netherlands;5.41;0.87;1;7;2020;8;None;4;No;Related Work;FALSCH;;6 rides;;;;;
dandekar2022how;https://dl.acm.org/doi/pdf/10.1145/3546741;The Netherlands;2.63;;1;5;2022;18;None;4;No;Related Work;FALSCH;;report using Median but has to be Mean;;;;;
dandekar2022how;https://dl.acm.org/doi/pdf/10.1145/3546741;The Netherlands;3.6;;1;5;2022;18;Multiple;4;No;Related Work;FALSCH;;report using Median but has to be Mean;;;;;
dandekar2022how;https://dl.acm.org/doi/pdf/10.1145/3546741;The Netherlands;3.53;;1;5;2022;18;Multiple;4;No;Related Work;FALSCH;;report using Median but has to be Mean;;;;;
LANZER2023222;https://www.sciencedirect.com/science/article/pii/S1369847823001316;Germany;4.99;1.15;1;7;2023;69;Multiple;4;No;Related Work;FALSCH;;adult;manuever + detection + prediction;;;;
LANZER2023222;https://www.sciencedirect.com/science/article/pii/S1369847823001316;Germany;4.92;1.2;1;7;2023;69;Multiple;4;No;Related Work;FALSCH;;child;manuever + detection + prediction;;;;
LANZER2023222;https://www.sciencedirect.com/science/article/pii/S1369847823001316;Germany;4.68;1.21;1;7;2023;69;Multiple;4;No;Related Work;FALSCH;;blind person;manuever + detection + prediction;;;;
avetisyan2022investigating;https://pdf.sciencedirectassets.com/271994/1-s2.0-S1369847822X00065/1-s2.0-S1369847822001589/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEFIaCXVzLWVhc3QtMSJHMEUCIEHfRLHy0buNBe7LBB9E3%2BRjDhUUIGn7H4aoqC5QGb0LAiEArWKMCBkVufOBR4Y4BEAYfSsfP5sq8LEmaRxYimOY4h0qvAUI2v%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDLzOyB4BPEGjsZj7ZyqQBdmUQKGNshjVcs8w0C3NmibBD%2B59V7HH7wrLHhxC09NzpmEUC9124%2FjdOtfi6tQ3IzflI5JFiY%2FsKT69CD7C65HtpUC0WpsXFtGjEn9sbJKTC3cgmQQPsD5hQYsZI0cAsWMolOjyTBzOZXbK5CgFfuOdFSvgn2EK%2B%2FGSrEZyhMtjpb0%2BurkaELlvWYtlnISJQURRvdG9RfBODWTZ6hFtLsbLuBquFsRFJYFVb0WK3xMHXD4LE8nft8guTK8VVuhvhD%2F0iTBdOPYiwKc%2FM4C5pTTd0rwbpipFbCRIScKWPTI5XdLBDD1aXufmERlVk94sLGpWSJ34O8JzBoyqhB3YXhaemU1WS4RE8piMabOf02P69DlU%2B5VFCFqMo7DmNIal0jxo94J48MJ5Z%2BGtjqjAcMSVEVkUxJmIW%2FNgIQxQ48nuL19F4c9s1PMFdcD0T5ZttZVkWSBlmsWivqYKtA4FkRhcZWb8bAPb27HcokERoAGT0y2eWyK3qTMG%2FZCgxWWlAJUlpLu%2Fx39muHmXZ10ARS7%2Fx4hdAaPbjOeJLETFNNOTwuizLqSFxYcmSyQHKAMFscsw0%2BLAWv3%2BlGzPYtfJYjg05V1LvfidYu8ymWA0tj16z08rIv8K2PFzwpCidHSOuY%2BoqIQ3onUNd9ACS0uG7uWwXxXR5tPS%2B1iSzve3FuheMSsFmIyhWNjwbop79WqHU9Lqh0Ey49678vJrXldhowMH6UUYg3e%2BQ%2B6uGf2lJCX1P4TBo8EwoYYty14%2FIfev1m0bFnkhzFNc%2B9s%2FWNMLlyhkj6ElrVqWEP0qQez64WxCnALCEP4GKsKPn6khfcj83zDymKi5II1l%2FC7T9aI%2BpFYA9iYNWfsoET1LWXUiztNvMN2a8KUGOrEB7SJd%2BAyXq3mmo%2BPge1ZHMhivl12JL%2B1MBQyQ3xGTebC7uJXEK7lGPVy4OSaoLL1r95%2Br977UJS2K5StTVGTut%2BaI8dHvHEaUizCMBFwt8a5QnAuowidP2rCUbTR9kX6suEaWhAE2DHYe9lxQEa5CWdyKcxCf%2B1xdAaQDehs6s9q97TQqVvMcmRIRDNSYlBdUlqv2qiY1ninutjOtfSbL2rW49sbHg5EP8AmgaCIHiSv7&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230722T182956Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYZBIG35A4%2F20230722%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=d77bcdfdd93dcbd7a7fbb8ecaa9283ef5bd70b3f155d71335ac904a669ae050f&hash=f6bbb74ede3bc9012c22a92188b52bdd6efb79b6cc8e40d491c8da831fbd11a7&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1369847822001589&tid=spdf-b59d345e-e306-4185-aaac-878ac35dc2bd&sid=aa4713d55d0e474e176b02032cebc528029dgxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1015520a050602555956&rr=7eadc0842c3742a1&cc=us;USA;4.9;0.25;1;7;2022;340;None;4;No;Related Work;FALSCH;;between-subject;values are guessed;;;;
